,domain_interaction,count
771,3.30.1110.10:partner-3.40.1190.20:major_partner,12
772,1.10.40.40:partner-3.40.50.1000:major_partner,12
774,3.30.1780.10:partner-3.40.50.720:major_partner,12
775,3.30.1330.50:partner-3.30.1330.50:partner-3.30.1330.50:partner,12
778,3.10.50.10:partner-3.20.20.80:major_partner,12
779,2.170.8.10:partner-3.90.228.20:major_partner,12
781,1.20.1050.70:partner-3.40.50.300:major_partner,12
784,2.40.400.10:major_partner-2.40.400.10:partner,12
785,3.40.50.10380:major_partner-3.40.50.720:major_partner,11
787,3.40.440.10:major_partner-3.90.170.10:partner,11
788,1.20.1560.10:major_partner-1.20.1560.10:partner,11
789,1.20.1180.10:partner-2.160.10.10:major_partner-2.160.10.10:partner,11
790,3.40.640.10:major_partner-3.40.640.10:partner-3.90.1150.10:partner,11
793,3.30.1330.10:partner-3.90.650.10:major_partner,11
805,3.10.270.10:major_partner-3.10.270.10:major_partner,11
806,1.20.90.10:major_partner-1.20.90.10:partner,11
812,3.40.50.2000:major_partner-3.40.50.2000:major_partner,10
815,1.10.287.690:major_partner-3.90.1600.10:partner,10
817,3.30.1330.80:major_partner-3.30.1330.80:partner,10
818,3.30.1330.10:major_partner-3.30.1330.10:partner,10
819,3.40.50.1980:partner-3.40.50.1980:partner-3.40.50.1980:partner-3.40.50.1980:partner,10
820,3.20.20.70:major_partner-3.20.20.70:major_partner,10
821,3.40.50.11380:partner-3.40.50.2000:major_partner,10
826,1.10.390.10:partner-3.30.2010.30:major_partner,10
827,1.10.540.10:partner-1.20.140.10:partner-2.40.110.10:partner,10
828,3.30.365.10:major_partner-3.30.365.10:partner,10
829,3.30.70.360:major_partner-3.40.630.10:partner,10
830,3.30.465.10:partner-3.40.462.10:major_partner,10
833,1.10.1410.10:major_partner-3.30.460.10:partner,10
834,3.30.1160.10:major_partner-3.30.1160.10:partner,10
838,1.20.5.510:partner-1.20.810.10:major_partner,10
839,3.40.50.720:major_partner-3.40.50.720:major_partner,10
846,3.30.1360.120:partner-3.30.70.1400:major_partner,10
848,3.90.340.10:partner-3.90.440.10:major_partner,10
849,2.60.130.10:major_partner-6.10.10.40:partner,10
856,3.30.470.20:major_partner-3.40.50.1760:partner,9
858,1.10.3210.10:major_partner-1.10.3210.10:partner-1.10.3210.10:partner,9
873,3.30.980.20:major_partner-3.40.50.1000:partner,9
874,2.170.8.10:major_partner-3.40.449.10:partner,9
877,3.30.200.20:partner-3.90.1200.10:major_partner,9
881,1.10.287.1350:major_partner-3.40.50.150:partner,9
883,3.30.420.40:partner-3.30.420.570:major_partner,9
884,3.30.420.40:partner-3.90.640.10:major_partner,9
887,3.30.1300.20:major_partner-3.30.1300.20:partner,9
888,3.40.50.10830:partner-6.10.140.120:major_partner,9
891,3.40.1180.10:major_partner-3.40.1180.10:partner,8
893,3.30.470.20:major_partner-3.40.50.11950:partner,8
896,1.10.1670.10:major_partner-1.10.340.30:partner,8
897,3.40.1190.10:partner-3.40.50.720:major_partner,8
900,3.40.1450.10:major_partner-3.40.720.10:partner,8
902,1.10.620.20:major_partner-1.10.620.20:partner,8
904,1.10.3820.10:major_partner-1.10.3820.10:partner,8
909,3.30.540.10:major_partner-3.40.190.90:partner,8
912,3.40.50.1970:major_partner-3.40.50.1970:major_partner,8
914,3.20.20.60:major_partner-3.40.1380.20:partner,8
915,3.50.50.60:major_partner-3.90.660.60:partner,8
916,3.50.50.60:major_partner-3.90.700.10:major_partner,8
917,2.30.30.60:partner-2.30.30.60:partner-2.30.30.60:partner,8
919,3.40.50.10800:partner-3.40.50.10800:partner-3.40.50.10800:partner,8
921,1.10.1130.10:partner-1.10.3820.10:major_partner,8
923,3.30.70.3180:partner-3.30.70.3180:partner-6.10.140.450:partner,8
926,1.10.405.10:major_partner-3.90.660.10:major_partner,8
927,2.70.98.60:major_partner-3.20.20.70:partner,8
928,3.20.20.70:partner-3.20.20.80:major_partner,8
932,3.50.20.10:partner-4.10.510.10:major_partner,8
933,3.20.200.10:partner-3.30.200.20:major_partner,8
939,1.20.5.880:major_partner-3.10.680.10:partner,8
942,3.30.210.10:major_partner-3.30.460.10:partner,8
945,3.40.800.10:major_partner-3.40.800.10:partner,8
946,3.90.1230.10:major_partner-3.90.440.10:partner,8
947,3.20.14.10:major_partner-3.40.275.10:partner-3.40.50.1070:partner,8
949,3.40.50.1220:major_partner-3.40.50.970:partner,8
954,1.10.760.10:partner-1.20.210.10:major_partner,8
958,2.40.180.10:major_partner-2.40.180.10:partner,8
962,1.10.1200.270:partner-3.40.50.150:major_partner,8
963,1.10.1410.40:major_partner-3.30.460.90:partner,8
965,1.10.1270.20:partner-3.40.1280.10:major_partner,7
966,3.30.420.10:major_partner-3.30.420.10:major_partner,7
967,2.160.20.10:major_partner-2.160.20.10:partner,7
969,1.20.150.20:partner-3.40.50.300:major_partner,7
974,3.30.1330.10:major_partner-3.90.650.10:partner,7
975,1.10.472.20:partner-3.90.330.10:major_partner,7
980,1.10.530.10:major_partner-3.30.20.10:partner,7
982,1.10.590.10:major_partner-1.10.590.10:partner,7
983,3.30.1360.120:major_partner-3.30.70.1400:partner,7
987,3.40.50.300:major_partner-3.40.50.300:major_partner,7
988,3.10.129.10:major_partner-3.10.129.10:partner-3.10.129.10:partner,7
989,3.10.10.10:major_partner-3.30.70.270:partner,7
990,3.40.1190.20:major_partner-3.40.1190.20:major_partner,7
991,3.40.50.2020:partner-3.60.20.10:major_partner,7
992,1.10.3130.10:partner-2.160.10.10:major_partner,7
1000,2.60.40.10:major_partner-2.60.40.10:partner,7
1002,3.40.605.10:major_partner-3.40.605.10:major_partner,7
1003,1.10.1040.10:major_partner-1.20.5.320:partner-3.40.50.720:partner,7
1008,3.40.640.10:major_partner-3.90.1150.10:major_partner,7
1010,3.40.50.150:partner-3.40.50.720:major_partner,7
1011,1.20.5.170:partner-3.40.50.720:major_partner-3.40.50.720:partner,6
1012,1.20.1340.10:major_partner-3.40.640.10:partner,6
1013,3.30.310.50:partner-3.40.120.10:major_partner,6
1015,3.30.1490.50:major_partner-3.30.470.20:partner,6
1016,1.10.1140.10:partner-3.40.50.300:major_partner-3.40.50.300:partner,6
1018,1.10.600.10:major_partner-1.10.600.10:partner,6
1019,3.30.63.10:partner-3.40.50.300:major_partner,6
1021,1.20.59.10:major_partner-1.20.59.10:partner,6
1022,1.10.1200.30:partner-1.10.375.10:major_partner,6
1024,3.40.50.720:partner-3.40.50.720:partner-3.90.180.10:partner,6
1026,1.10.1130.10:major_partner-1.10.3820.10:partner-1.20.140.10:partner,6
1027,1.25.40.10:major_partner-1.25.40.10:partner,6
1028,3.40.50.1580:major_partner-3.40.50.1580:major_partner,6
1030,3.30.540.10:partner-3.40.190.90:major_partner,6
1031,3.30.465.10:major_partner-3.40.462.20:partner,6
1032,3.30.428.10:major_partner-3.30.428.10:partner,6
1033,1.10.1500.10:major_partner-3.40.710.10:partner,6
1034,3.30.70.250:partner-3.40.366.10:major_partner,6
1035,3.10.310.20:major_partner-3.90.1640.10:partner,6
1040,1.10.472.20:major_partner-3.90.330.10:partner,6
1042,3.40.50.360:major_partner-3.60.15.10:partner,6
1043,3.40.50.970:major_partner-3.40.50.970:major_partner,6
1044,1.10.760.10:partner-1.20.810.10:major_partner,6
1045,3.30.70.360:partner-3.30.70.360:partner-3.40.630.10:major_partner,6
1047,3.40.50.1360:major_partner-3.40.50.1360:partner,6
1048,2.70.98.10:partner-3.20.20.80:major_partner,6
1049,3.20.14.10:partner-3.40.50.1070:major_partner,6
1050,3.20.14.10:partner-3.40.275.10:partner-3.40.50.1070:partner,6
1051,3.40.220.10:major_partner-3.40.220.10:major_partner,6
1057,1.10.1410.10:partner-3.30.460.10:major_partner,6
1058,3.30.70.520:major_partner-3.30.70.520:partner,6
1059,1.20.1670.10:partner-1.20.1670.10:partner-1.20.1680.10:partner,6
1062,3.30.1490.70:major_partner-3.30.470.30:partner,6
1064,1.10.135.10:major_partner-3.30.590.10:partner,6
1066,3.30.2130.10:major_partner-3.30.70.260:partner,6
1067,3.20.20.70:major_partner-3.90.1170.20:partner,6
1068,3.30.43.10:partner-3.30.465.10:partner,6
1069,3.30.43.10:partner-3.30.465.10:partner-3.40.462.20:partner,6
1070,3.30.43.10:partner-3.30.465.10:major_partner-3.90.78.10:partner,6
1074,2.40.40.20:partner-3.40.50.740:partner,6
1077,3.30.70.3180:partner-3.30.70.3180:partner-3.30.70.3180:partner,6
1078,3.20.10.10:major_partner-3.30.470.10:partner-3.30.470.10:partner,6
1079,3.20.10.10:major_partner-3.30.470.10:major_partner,6
1082,3.30.1490.20:major_partner-3.30.470.20:major_partner,6
1085,1.20.120.1300:major_partner-3.40.50.720:partner,6
1087,1.20.1260.10:major_partner-1.20.1260.10:partner,6
1088,3.40.1160.10:partner-3.40.630.30:major_partner,6
1089,3.30.1110.20:major_partner-3.40.1190.20:partner,6
1090,3.20.19.10:partner-3.30.499.10:partner-3.30.499.10:partner,6
1091,2.102.10.10:partner-3.10.450.50:major_partner,6
1093,3.30.70.640:major_partner-3.30.70.640:partner,6
1094,3.30.70.420:partner-3.90.770.10:major_partner,6
1095,2.40.37.10:major_partner-2.40.37.10:partner,6
1096,1.10.287.980:major_partner-1.20.810.10:partner,6
1097,1.20.5.100:major_partner-1.20.5.270:partner-1.20.810.10:partner,6
1098,1.20.5.700:major_partner-1.20.810.10:partner,6
1105,3.30.1490.20:partner-3.40.50.720:major_partner,6
1106,3.40.50.720:major_partner-3.90.180.10:major_partner,6
1109,2.160.10.10:partner-3.90.550.10:major_partner,6
1110,2.30.26.10:major_partner-3.20.20.70:partner,6
1112,1.20.1280.120:major_partner-2.40.180.10:partner,6
1114,1.10.150.90:major_partner-1.10.150.90:partner,6
1116,1.10.1090.10:partner-3.30.830.10:major_partner,6
1119,3.30.420.40:major_partner-3.90.640.10:partner,6
1121,2.130.10.10:major_partner-2.130.10.10:partner,5
1123,2.102.10.10:partner-3.90.380.10:major_partner,5
